1.1|0,0
2.1|1,0;0,1;1,1
4.1|1,0;1,2
4.2|2,1
5.1|1,0
7.1|1,0
8.1|1,0;1,4
8.2|2,5
8.3|1,2
8.4|2,1
10.2|1,0;1,5;6,5
11.1|1,0
13.1|11,0
14.2|5,0;1,7;4,7
16.1|11,0;11,8
16.4|13,14
16.5|11,9
16.6|11,13
16.8|11,2;1,2
17.1|1,0
19.1|17,0
20.2|1,0;1,10
20.3|1,16
20.5|17,11
22.2|5,0;19,11;4,11
23.1|1,0
32.12|5,28
32.13|17,22
32.15|17,22
32.17|30,25
39.1|7,33
40.10|33,30
40.12|21,4
42.1|5,24
55.1|44,45
64.45|23,40
64.46|23,54;17,54
80.31|41,44
84.7|49,30
100.9|53,60
110.2|89,40;49,25;64,25
253.1|217,187
272.50|49,16
342.7|265,306
